Paper,Dataset,Paper Year,Dataset Year,,Objectives,Paper Year
Héron: Taming Tail Latencies in Key-Value Stores Under Heterogeneous Workloads,Wikipedia,2018,N/A,,Workload Characterization,2018
A Long-term Cloud Workload Prediction Framework for Reserved Resource Allocation,Wikipedia,2022,2015,,Workload Prediction,2022
Workload prediction using ARIMA model and its impact on cloud applications' QoS,Wikipedia,2014,2008,,Workload Prediction,2014
An adaptive workload prediction strategy for non-Gaussian cloud service using ARMA model with higher order statistics,Wikipedia,2018,2015,,Workload Prediction,2018
CloudInsight: Utilizing a Council of Experts to Predict Future Cloud Application Workloads,Wikipedia,2018,2008,,Workload Prediction,2018
CANFIS: A Chaos Adaptive Neural Fuzzy Inference System for Workload Prediction in the Cloud,Wikipedia,2022,2015,,Workload Prediction,2022
CANFIS: A Chaos Adaptive Neural Fuzzy Inference System for Workload Prediction in the Cloud,Nasa,2022,1995,,Workload Characterization,2009
Wikipedia workload analysis for decentralized hosting,Wikipedia,2009,2008,,Workload Classification,2009
"Chameleon: A Hybrid, Proactive Auto-Scaling Mechanism on a Level-Playing Field",Wikipedia,2018,2013,,Auto-scaling,2018
"Chameleon: A Hybrid, Proactive Auto-Scaling Mechanism on a Level-Playing Field",WorldCup98,2018,1998,,Workload Prediction,2018
"Chameleon: A Hybrid, Proactive Auto-Scaling Mechanism on a Level-Playing Field",Retailrocket,2018,2015,,Workload Prediction,2018
Higher Order Statistics Based Method For Workload Prediction In The Cloud Using ARMA Model,Wikipedia,2018,2015,,Auto-scaling,2020
Online Workload Burst Detection for Efficient Predictive Autoscaling of Applications,Wikipedia,2020,2008,,Workload Prediction,2020
Online Workload Burst Detection for Efficient Predictive Autoscaling of Applications,WorldCup98,2020,1998,,Workload Prediction,2022
Online Workload Burst Detection for Efficient Predictive Autoscaling of Applications,Nasa,2020,1995,,Workload Prediction,2020
Online Workload Burst Detection for Efficient Predictive Autoscaling of Applications,Calgary,2020,1995,,Workload Classification,2013
Online Workload Burst Detection for Efficient Predictive Autoscaling of Applications,ClarkNet,2020,1995,,Workload Prediction,2013
CloudBruno: A Low-Overhead Online Workload Prediction Framework for Cloud Computing,Wikipedia,2022,2008,,Benchmarking,2016
A Self-Optimized Generic Workload Prediction Framework for Cloud Computing,Wikipedia,2020,2008,,Workload Classification,2013
Self-adaptive workload classification and forecasting for proactive resource provisioning,Wikipedia,2013,2011,,Auto-scaling,2017
PEAS: A Performance Evaluation Framework for Auto-Scaling Strategies in Cloud Applications,Wikipedia,2016,2013,,Workload Prediction,2022
Workload Classification for Efficient Auto-Scaling of Cloud Resources,Wikipedia,2013,2008,,Auto-scaling,2020
Workload Classification for Efficient Auto-Scaling of Cloud Resources,WorldCup98,2013,1998,,Workload Prediction,2020
A Fuzzy Approach Based on Heterogeneous Metrics for Scaling Out Public Clouds,Wikipedia,2017,2008,,Resource Provisioning,2011
A Fuzzy Approach Based on Heterogeneous Metrics for Scaling Out Public Clouds,WorldCup98,2017,1998,,Workload Prediction,2016
A new temporal locality-based workload prediction approach for SaaS services in a cloud environment,Wikipedia,2022,2007,,Workload Prediction,2016
Burst-Aware Predictive Autoscaling for Containerized Microservices,Wikipedia,2020,2008,,Workload Prediction,2011
Burst-Aware Predictive Autoscaling for Containerized Microservices,WorldCup98,2020,1998,,Resource Provisioning,2011
Burst-Aware Predictive Autoscaling for Containerized Microservices,Nasa,2020,1995,,Workload Characterization,2000
Burst-Aware Predictive Autoscaling for Containerized Microservices,Calgary,2020,1995,,Auto-scaling,2010
Burst-Aware Predictive Autoscaling for Containerized Microservices,ClarkNet,2020,1995,,Workload Prediction,2010
Virtual Machine Provisioning Based on Analytical Performance and QoS in Cloud Computing Environments,Wikipedia,2011,2008,,Auto-scaling,2016
Learning-Based Power Prediction for Data Centre Operations via Deep Neural Networks,WorldCup98,2016,1998,,Workload Prediction,2016
Learning-Based Power Prediction for Data Centre Operations via Deep Neural Networks,ClarkNet,2016,1995,,Auto-scaling,2022
A Workload Prediction Approach Using Models Stacking Based on Recurrent Neural Network and Autoencoder,WorldCup98,2016,1998,,Workload Prediction,2022
A Workload Prediction Approach Using Models Stacking Based on Recurrent Neural Network and Autoencoder,Nasa,2016,1995,,Workload Prediction,2020
Efficient Autoscaling in the Cloud using Predictive Models for Workload Forecasting,WorldCup98,2011,1998,,Auto-scaling,2020
A Workload Characterization Study of the 1998 World Cup Web Site,WorldCup98,2000,1998,,Workload Prediction,2020
PRESS: PRedictive Elastic ReSource Scaling for cloud systems,WorldCup98,2010,1998,,Benchmarking,2009
PRESS: PRedictive Elastic ReSource Scaling for cloud systems,ClarkNet,2010,1995,,Load Balancing,2000
Combining time series prediction models using genetic algorithm to autoscaling Web applications hosted in the cloud infrastructure,WorldCup98,2010,1998,,Self-healing,2018
Combining time series prediction models using genetic algorithm to autoscaling Web applications hosted in the cloud infrastructure,Nasa,2010,1995,,Benchmarking,2018
Combining time series prediction models using genetic algorithm to autoscaling Web applications hosted in the cloud infrastructure,ClarkNet,2010,1995,,Auto-scaling,2017
K-AGRUED: A Container Autoscaling Technique for Cloud-based Web Applications in Kubernetes Using Attention-based GRU Encoder-Decoder,WorldCup98,2022,1998,,Self-healing,2016
