Time,Projectviews
2019-01-01 00:00:00,19414089
2019-01-01 01:00:00,20235232
2019-01-01 02:00:00,18324342
2019-01-01 03:00:00,17410465
2019-01-01 04:00:00,16577012
2019-01-01 05:00:00,16440058
2019-01-01 06:00:00,16864732
2019-01-01 07:00:00,16568766
2019-01-01 08:00:00,16258359
2019-01-01 09:00:00,16302834
2019-01-01 10:00:00,17387098
2019-01-01 11:00:00,19066754
2019-01-01 12:00:00,20464669
2019-01-01 13:00:00,22311373
2019-01-01 14:00:00,23860329
2019-01-01 15:00:00,25208859
2019-01-01 16:00:00,26070104
2019-01-01 17:00:00,26589903
2019-01-01 18:00:00,27087041
2019-01-01 19:00:00,27298564
2019-01-01 20:00:00,27445704
2019-01-01 21:00:00,28096329
2019-01-01 22:00:00,27689632
2019-01-01 23:00:00,25708787
2019-01-02 00:00:00,22477412
2019-01-02 01:00:00,21058428
2019-01-02 02:00:00,20061624
2019-01-02 03:00:00,19716679
2019-01-02 04:00:00,18854554
2019-01-02 05:00:00,18049607
2019-01-02 06:00:00,17603082
2019-01-02 07:00:00,17632501
2019-01-02 08:00:00,17983120
2019-01-02 09:00:00,18734381
2019-01-02 10:00:00,20045082
2019-01-02 11:00:00,21560837
2019-01-02 12:00:00,22771579
2019-01-02 13:00:00,24776536
2019-01-02 14:00:00,26720920
2019-01-02 15:00:00,27754581
2019-01-02 16:00:00,27946315
2019-01-02 17:00:00,27519449
2019-01-02 18:00:00,26975961
2019-01-02 19:00:00,26803656
2019-01-02 20:00:00,27166871
2019-01-02 21:00:00,27595920
2019-01-02 22:00:00,27024134
2019-01-02 23:00:00,24734841
2019-01-03 00:00:00,21441688
2019-01-03 01:00:00,20051561
2019-01-03 02:00:00,19337616
2019-01-03 03:00:00,19723365
2019-01-03 04:00:00,18680012
2019-01-03 05:00:00,18032671
2019-01-03 06:00:00,17845516
2019-01-03 07:00:00,17889372
2019-01-03 08:00:00,18628173
2019-01-03 09:00:00,19662441
2019-01-03 10:00:00,20677985
2019-01-03 11:00:00,21951264
2019-01-03 12:00:00,22691153
2019-01-03 13:00:00,24713320
