Time,Projectviews
2020-01-01 00:00:00,18780795
2020-01-01 01:00:00,19387244
2020-01-01 02:00:00,17398659
2020-01-01 03:00:00,16453696
2020-01-01 04:00:00,15991824
2020-01-01 05:00:00,15716195
2020-01-01 06:00:00,15457017
2020-01-01 07:00:00,14909056
2020-01-01 08:00:00,15001155
2020-01-01 09:00:00,15576612
2020-01-01 10:00:00,16520635
2020-01-01 11:00:00,18166911
2020-01-01 12:00:00,19645349
2020-01-01 13:00:00,21137996
2020-01-01 14:00:00,22543308
2020-01-01 15:00:00,24205219
2020-01-01 16:00:00,25520522
2020-01-01 17:00:00,26080864
2020-01-01 18:00:00,26458242
2020-01-01 19:00:00,26798423
2020-01-01 20:00:00,26922561
2020-01-01 21:00:00,27748028
2020-01-01 22:00:00,27852519
2020-01-01 23:00:00,25418578
2020-01-02 00:00:00,22385099
2020-01-02 01:00:00,20366733
2020-01-02 02:00:00,19694961
2020-01-02 03:00:00,19584475
2020-01-02 04:00:00,18760291
2020-01-02 05:00:00,17768483
2020-01-02 06:00:00,17002128
2020-01-02 07:00:00,16858205
2020-01-02 08:00:00,17506749
2020-01-02 09:00:00,18663195
2020-01-02 10:00:00,19773680
2020-01-02 11:00:00,21009698
2020-01-02 12:00:00,22072216
2020-01-02 13:00:00,23807957
2020-01-02 14:00:00,26025538
2020-01-02 15:00:00,26839016
2020-01-02 16:00:00,27227103
2020-01-02 17:00:00,26820265
2020-01-02 18:00:00,26481367
2020-01-02 19:00:00,26379726
2020-01-02 20:00:00,26788446
2020-01-02 21:00:00,27504250
2020-01-02 22:00:00,27408049
2020-01-02 23:00:00,24978033
2020-01-03 00:00:00,22034374
2020-01-03 01:00:00,20203232
2020-01-03 02:00:00,19471520
2020-01-03 03:00:00,19232718
2020-01-03 04:00:00,18911795
2020-01-03 05:00:00,17928439
2020-01-03 06:00:00,17104783
2020-01-03 07:00:00,17096243
2020-01-03 08:00:00,17671827
2020-01-03 09:00:00,18761967
2020-01-03 10:00:00,20030621
2020-01-03 11:00:00,21174099
2020-01-03 12:00:00,22293056
2020-01-03 13:00:00,23763393
2020-01-03 14:00:00,25672657
2020-01-03 15:00:00,26983134
2020-01-03 16:00:00,27317409
2020-01-03 17:00:00,27178287
2020-01-03 18:00:00,26506712
2020-01-03 19:00:00,26273598
2020-01-03 20:00:00,26733586
2020-01-03 21:00:00,27602632
2020-01-03 22:00:00,27331718
2020-01-03 23:00:00,25068609
2020-01-04 00:00:00,22168601
2020-01-04 01:00:00,20037863
2020-01-04 02:00:00,18723593
2020-01-04 03:00:00,18603036
2020-01-04 04:00:00,18341404
2020-01-04 05:00:00,17726015
2020-01-04 06:00:00,17175653
2020-01-04 07:00:00,16592254
2020-01-04 08:00:00,16852417
2020-01-04 09:00:00,17859246
2020-01-04 10:00:00,19255299
2020-01-04 11:00:00,20631916
2020-01-04 12:00:00,21708303
2020-01-04 13:00:00,22987492
2020-01-04 14:00:00,24704399
2020-01-04 15:00:00,26264037
2020-01-04 16:00:00,26958334
2020-01-04 17:00:00,27397052
2020-01-04 18:00:00,27307947
2020-01-04 19:00:00,26965753
2020-01-04 20:00:00,27508921
2020-01-04 21:00:00,28283133
2020-01-04 22:00:00,28288901
2020-01-04 23:00:00,26999791
2020-01-05 00:00:00,23694762
2020-01-05 01:00:00,21298345
2020-01-05 02:00:00,20202614
2020-01-05 03:00:00,20100094
2020-01-05 04:00:00,19583844
2020-01-05 05:00:00,18845690
2020-01-05 06:00:00,18276236
2020-01-05 07:00:00,17821654
2020-01-05 08:00:00,18008247
2020-01-05 09:00:00,19244692
2020-01-05 10:00:00,20624910
2020-01-05 11:00:00,22245711
2020-01-05 12:00:00,23511071
2020-01-05 13:00:00,25153390
2020-01-05 14:00:00,27091099
2020-01-05 15:00:00,28444400
2020-01-05 16:00:00,28971041
2020-01-05 17:00:00,29121318
2020-01-05 18:00:00,29328462
2020-01-05 19:00:00,28663070
2020-01-05 20:00:00,29405365
2020-01-05 21:00:00,42137088
2020-01-05 22:00:00,29686209
2020-01-05 23:00:00,27522228
2020-01-06 00:00:00,23645069
2020-01-06 01:00:00,21721484
2020-01-06 02:00:00,21549994
2020-01-06 03:00:00,22384991
2020-01-06 04:00:00,22103798
2020-01-06 05:00:00,20305722
2020-01-06 06:00:00,18663061
2020-01-06 07:00:00,18582929
2020-01-06 08:00:00,19180086
2020-01-06 09:00:00,20105220
2020-01-06 10:00:00,21334094
2020-01-06 11:00:00,22734063
2020-01-06 12:00:00,23954284
2020-01-06 13:00:00,25876572
2020-01-06 14:00:00,27829486
2020-01-06 15:00:00,28489548
2020-01-06 16:00:00,28903445
2020-01-06 17:00:00,28722252
2020-01-06 18:00:00,28486593
2020-01-06 19:00:00,28241948
2020-01-06 20:00:00,28927593
2020-01-06 21:00:00,29647641
2020-01-06 22:00:00,28078887
2020-01-06 23:00:00,25047366
2020-01-07 00:00:00,21306062
2020-01-07 01:00:00,19764592
2020-01-07 02:00:00,19373680
2020-01-07 03:00:00,19549321
2020-01-07 04:00:00,19489680
2020-01-07 05:00:00,18585908
2020-01-07 06:00:00,18131705
2020-01-07 07:00:00,18594684
2020-01-07 08:00:00,19430872
2020-01-07 09:00:00,20484010
2020-01-07 10:00:00,21577897
2020-01-07 11:00:00,22835393
2020-01-07 12:00:00,23899810
2020-01-07 13:00:00,25926811
2020-01-07 14:00:00,27744591
2020-01-07 15:00:00,29134304
2020-01-07 16:00:00,28962791
2020-01-07 17:00:00,28476216
2020-01-07 18:00:00,28143288
2020-01-07 19:00:00,27767144
2020-01-07 20:00:00,28472580
2020-01-07 21:00:00,28705264
2020-01-07 22:00:00,27617259
2020-01-07 23:00:00,24681878
2020-01-08 00:00:00,21203888
2020-01-08 01:00:00,19833245
2020-01-08 02:00:00,19480109
2020-01-08 03:00:00,19701878
2020-01-08 04:00:00,19372055
2020-01-08 05:00:00,18093261
2020-01-08 06:00:00,17798794
2020-01-08 07:00:00,18403567
2020-01-08 08:00:00,19730734
2020-01-08 09:00:00,20629999
2020-01-08 10:00:00,21484569
2020-01-08 11:00:00,22461669
2020-01-08 12:00:00,23464279
2020-01-08 13:00:00,25237429
2020-01-08 14:00:00,27278297
2020-01-08 15:00:00,28677531
2020-01-08 16:00:00,25580572
2020-01-08 17:00:00,28042776
2020-01-08 18:00:00,27360997
2020-01-08 19:00:00,26999389
2020-01-08 20:00:00,27720147
2020-01-08 21:00:00,28216812
2020-01-08 22:00:00,27266216
2020-01-08 23:00:00,24441983
2020-01-09 00:00:00,20513401
2020-01-09 01:00:00,19183016
2020-01-09 02:00:00,19097712
2020-01-09 03:00:00,19450668
2020-01-09 04:00:00,18922587
2020-01-09 05:00:00,17901833
2020-01-09 06:00:00,17504089
2020-01-09 07:00:00,18577525
2020-01-09 08:00:00,19450368
2020-01-09 09:00:00,20302346
2020-01-09 10:00:00,21168564
2020-01-09 11:00:00,21986995
2020-01-09 12:00:00,22909286
2020-01-09 13:00:00,24774904
2020-01-09 14:00:00,26887241
2020-01-09 15:00:00,27850197
2020-01-09 16:00:00,27792679
2020-01-09 17:00:00,27444738
2020-01-09 18:00:00,26878042
2020-01-09 19:00:00,26748713
2020-01-09 20:00:00,27160836
2020-01-09 21:00:00,27539588
2020-01-09 22:00:00,27268238
2020-01-09 23:00:00,24230695
2020-01-10 00:00:00,20576158
2020-01-10 01:00:00,19160278
2020-01-10 02:00:00,18937224
2020-01-10 03:00:00,19083473
2020-01-10 04:00:00,18804845
2020-01-10 05:00:00,17502755
2020-01-10 06:00:00,17067247
2020-01-10 07:00:00,17814427
2020-01-10 08:00:00,18897583
2020-01-10 09:00:00,19731929
2020-01-10 10:00:00,20639518
2020-01-10 11:00:00,21352617
2020-01-10 12:00:00,22262502
2020-01-10 13:00:00,23871276
2020-01-10 14:00:00,25719807
2020-01-10 15:00:00,26749363
2020-01-10 16:00:00,26742774
2020-01-10 17:00:00,26151737
2020-01-10 18:00:00,25601948
2020-01-10 19:00:00,25539391
2020-01-10 20:00:00,26133887
2020-01-10 21:00:00,26733469
2020-01-10 22:00:00,26322172
2020-01-10 23:00:00,23969713
2020-01-11 00:00:00,21007022
2020-01-11 01:00:00,18889534
2020-01-11 02:00:00,17963138
2020-01-11 03:00:00,17940374
2020-01-11 04:00:00,17967732
2020-01-11 05:00:00,17231807
2020-01-11 06:00:00,16790306
2020-01-11 07:00:00,16805145
2020-01-11 08:00:00,17220716
2020-01-11 09:00:00,18356320
2020-01-11 10:00:00,20163062
2020-01-11 11:00:00,21224360
2020-01-11 12:00:00,22287321
2020-01-11 13:00:00,24258718
2020-01-11 14:00:00,25364494
2020-01-11 15:00:00,26180203
2020-01-11 16:00:00,26747001
2020-01-11 17:00:00,26860269
2020-01-11 18:00:00,26770538
2020-01-11 19:00:00,26763623
2020-01-11 20:00:00,27380921
2020-01-11 21:00:00,28262202
2020-01-11 22:00:00,28224471
2020-01-11 23:00:00,25918473
2020-01-12 00:00:00,23290034
2020-01-12 01:00:00,21043142
2020-01-12 02:00:00,19759970
2020-01-12 03:00:00,19430930
2020-01-12 04:00:00,19127172
2020-01-12 05:00:00,18334377
2020-01-12 06:00:00,17601836
2020-01-12 07:00:00,17374279
2020-01-12 08:00:00,18096746
2020-01-12 09:00:00,19650136
2020-01-12 10:00:00,21521029
2020-01-12 11:00:00,23093441
2020-01-12 12:00:00,24018695
2020-01-12 13:00:00,25644667
2020-01-12 14:00:00,27823405
2020-01-12 15:00:00,29829256
2020-01-12 16:00:00,30413954
2020-01-12 17:00:00,30264871
2020-01-12 18:00:00,30331859
2020-01-12 19:00:00,29806569
2020-01-12 20:00:00,30099389
2020-01-12 21:00:00,30304827
2020-01-12 22:00:00,28974146
2020-01-12 23:00:00,25710664
2020-01-13 00:00:00,22403310
2020-01-13 01:00:00,20796969
2020-01-13 02:00:00,21217048
2020-01-13 03:00:00,20810253
2020-01-13 04:00:00,19900315
2020-01-13 05:00:00,18862352
2020-01-13 06:00:00,18373759
2020-01-13 07:00:00,18817003
2020-01-13 08:00:00,20061562
2020-01-13 09:00:00,20943610
2020-01-13 10:00:00,21827922
2020-01-13 11:00:00,22743234
2020-01-13 12:00:00,23848923
2020-01-13 13:00:00,25775724
2020-01-13 14:00:00,28078886
2020-01-13 15:00:00,29268705
2020-01-13 16:00:00,28883603
2020-01-13 17:00:00,28437159
2020-01-13 18:00:00,28175771
2020-01-13 19:00:00,27917900
2020-01-13 20:00:00,28694284
