Datetime,Value
2018-05-01 00:00:00,6172
2018-05-01 01:00:00,5957
2018-05-01 02:00:00,5154
2018-05-01 03:00:00,8200
2018-05-01 04:00:00,11327
2018-05-01 05:00:00,8565
2018-05-01 06:00:00,8766
2018-05-01 07:00:00,8593
2018-05-01 08:00:00,12838
2018-05-01 09:00:00,11035
2018-05-01 10:00:00,15581
2018-05-01 11:00:00,14393
2018-05-01 12:00:00,11200
2018-05-01 13:00:00,11990
2018-05-01 14:00:00,14277
2018-05-01 15:00:00,11112
2018-05-01 16:00:00,10240
2018-05-01 17:00:00,10063
2018-05-01 18:00:00,8780
2018-05-01 19:00:00,9793
2018-05-01 20:00:00,10595
2018-05-01 21:00:00,10833
2018-05-01 22:00:00,8719
2018-05-01 23:00:00,7334
2018-05-02 00:00:00,6113
2018-05-02 01:00:00,5671
2018-05-02 02:00:00,3824
2018-05-02 03:00:00,6795
2018-05-02 04:00:00,6949
2018-05-02 05:00:00,6579
2018-05-02 06:00:00,5659
2018-05-02 07:00:00,8584
2018-05-02 08:00:00,7335
2018-05-02 09:00:00,11261
2018-05-02 10:00:00,12525
2018-05-02 11:00:00,13456
2018-05-02 12:00:00,10467
2018-05-02 13:00:00,11476
2018-05-02 14:00:00,11252
2018-05-02 15:00:00,11298
2018-05-02 16:00:00,11617
2018-05-02 17:00:00,8004
2018-05-02 18:00:00,8450
2018-05-02 19:00:00,7622
2018-05-02 20:00:00,7924
2018-05-02 21:00:00,7332
2018-05-02 22:00:00,6264
2018-05-02 23:00:00,6435
2018-05-03 00:00:00,4338
2018-05-03 01:00:00,5505
2018-05-03 02:00:00,4086
2018-05-03 03:00:00,5570
2018-05-03 04:00:00,6495
2018-05-03 05:00:00,4573
2018-05-03 06:00:00,6306
2018-05-03 07:00:00,7775
2018-05-03 08:00:00,7932
2018-05-03 09:00:00,7416
2018-05-03 10:00:00,11861
2018-05-03 11:00:00,11015
2018-05-03 12:00:00,8553
2018-05-03 13:00:00,8670
2018-05-03 14:00:00,8835
2018-05-03 15:00:00,10339
2018-05-03 16:00:00,8513
2018-05-03 17:00:00,7447
2018-05-03 18:00:00,6704
2018-05-03 19:00:00,7510
2018-05-03 20:00:00,8749
2018-05-03 21:00:00,6779
2018-05-03 22:00:00,6347
2018-05-03 23:00:00,4865
2018-05-04 00:00:00,6050
2018-05-04 01:00:00,5042
2018-05-04 02:00:00,4675
2018-05-04 03:00:00,6812
2018-05-04 04:00:00,7805
2018-05-04 05:00:00,6239
2018-05-04 06:00:00,6189
2018-05-04 07:00:00,9438
2018-05-04 08:00:00,9212
2018-05-04 09:00:00,10334
2018-05-04 10:00:00,12267
2018-05-04 11:00:00,11733
2018-05-04 12:00:00,10440
2018-05-04 13:00:00,11151
2018-05-04 14:00:00,10283
2018-05-04 15:00:00,9819
2018-05-04 16:00:00,9723
2018-05-04 17:00:00,8312
2018-05-04 18:00:00,8054
2018-05-04 19:00:00,8488
2018-05-04 20:00:00,7989
2018-05-04 21:00:00,7395
2018-05-04 22:00:00,6779
2018-05-04 23:00:00,6697
2018-05-05 00:00:00,7067
2018-05-05 01:00:00,7178
2018-05-05 02:00:00,5936
2018-05-05 03:00:00,7835
2018-05-05 04:00:00,9943
2018-05-05 05:00:00,8143
2018-05-05 06:00:00,10010
2018-05-05 07:00:00,10480
2018-05-05 08:00:00,12486
2018-05-05 09:00:00,12126
2018-05-05 10:00:00,16391
2018-05-05 11:00:00,17505
2018-05-05 12:00:00,11271
2018-05-05 13:00:00,13428
2018-05-05 14:00:00,12648
2018-05-05 15:00:00,12365
2018-05-05 16:00:00,12131
2018-05-05 17:00:00,11773
2018-05-05 18:00:00,11982
2018-05-05 19:00:00,9593
2018-05-05 20:00:00,10404
2018-05-05 21:00:00,11941
2018-05-05 22:00:00,10837
2018-05-05 23:00:00,9344
2018-05-06 00:00:00,7503
2018-05-06 01:00:00,6429
2018-05-06 02:00:00,5926
2018-05-06 03:00:00,7387
2018-05-06 04:00:00,8432
2018-05-06 05:00:00,7864
2018-05-06 06:00:00,8240
2018-05-06 07:00:00,9915
2018-05-06 08:00:00,11086
2018-05-06 09:00:00,12329
2018-05-06 10:00:00,15322
2018-05-06 11:00:00,14036
2018-05-06 12:00:00,11096
2018-05-06 13:00:00,13834
2018-05-06 14:00:00,13797
2018-05-06 15:00:00,11887
2018-05-06 16:00:00,11668
2018-05-06 17:00:00,9189
2018-05-06 18:00:00,10446
2018-05-06 19:00:00,8647
2018-05-06 20:00:00,8756
2018-05-06 21:00:00,8947
2018-05-06 22:00:00,10496
2018-05-06 23:00:00,9319
2018-05-07 00:00:00,7394
2018-05-07 01:00:00,7604
2018-05-07 02:00:00,6126
2018-05-07 03:00:00,8589
2018-05-07 04:00:00,9449
2018-05-07 05:00:00,8169
2018-05-07 06:00:00,8539
2018-05-07 07:00:00,9125
2018-05-07 08:00:00,12647
2018-05-07 09:00:00,11306
2018-05-07 10:00:00,14155
2018-05-07 11:00:00,16069
2018-05-07 12:00:00,10554
2018-05-07 13:00:00,13847
2018-05-07 14:00:00,11572
2018-05-07 15:00:00,14209
2018-05-07 16:00:00,11018
2018-05-07 17:00:00,9561
2018-05-07 18:00:00,10581
2018-05-07 19:00:00,8517
2018-05-07 20:00:00,9808
2018-05-07 21:00:00,9500
2018-05-07 22:00:00,8546
2018-05-07 23:00:00,8643
2018-05-08 00:00:00,8407
2018-05-08 01:00:00,5875
2018-05-08 02:00:00,6616
2018-05-08 03:00:00,9562
2018-05-08 04:00:00,11604
2018-05-08 05:00:00,7735
2018-05-08 06:00:00,8232
2018-05-08 07:00:00,9370
2018-05-08 08:00:00,10497
2018-05-08 09:00:00,13863
2018-05-08 10:00:00,14314
2018-05-08 11:00:00,13944
2018-05-08 12:00:00,14557
2018-05-08 13:00:00,13064
2018-05-08 14:00:00,14005
2018-05-08 15:00:00,13309
2018-05-08 16:00:00,14257
2018-05-08 17:00:00,13351
2018-05-08 18:00:00,10760
2018-05-08 19:00:00,10800
2018-05-08 20:00:00,9413
2018-05-08 21:00:00,9567
2018-05-08 22:00:00,10225
2018-05-08 23:00:00,7624
2018-05-09 00:00:00,9047
2018-05-09 01:00:00,7755
2018-05-09 02:00:00,8405
2018-05-09 03:00:00,8914
2018-05-09 04:00:00,11785
2018-05-09 05:00:00,9744
2018-05-09 06:00:00,9162
2018-05-09 07:00:00,13044
2018-05-09 08:00:00,15110
2018-05-09 09:00:00,18129
2018-05-09 10:00:00,19002
2018-05-09 11:00:00,22546
2018-05-09 12:00:00,16065
2018-05-09 13:00:00,19734
2018-05-09 14:00:00,18466
2018-05-09 15:00:00,15291
2018-05-09 16:00:00,16847
2018-05-09 17:00:00,11704
2018-05-09 18:00:00,11483
2018-05-09 19:00:00,11382
2018-05-09 20:00:00,14207
2018-05-09 21:00:00,10932
2018-05-09 22:00:00,12133
2018-05-09 23:00:00,10150
2018-05-10 00:00:00,4493
2018-05-10 01:00:00,3786
2018-05-10 02:00:00,4171
2018-05-10 03:00:00,4764
2018-05-10 04:00:00,5746
2018-05-10 05:00:00,5116
2018-05-10 06:00:00,6718
2018-05-10 07:00:00,6885
2018-05-10 08:00:00,6873
2018-05-10 09:00:00,8886
2018-05-10 10:00:00,8755
2018-05-10 11:00:00,8241
2018-05-10 12:00:00,8671
2018-05-10 13:00:00,8687
2018-05-10 14:00:00,7670
2018-05-10 15:00:00,7405
2018-05-10 16:00:00,7702
2018-05-10 17:00:00,5679
2018-05-10 18:00:00,7132
2018-05-10 19:00:00,6388
2018-05-10 20:00:00,6433
2018-05-10 21:00:00,5685
2018-05-10 22:00:00,5901
2018-05-10 23:00:00,4478
2018-05-11 00:00:00,5233
2018-05-11 01:00:00,4569
2018-05-11 02:00:00,4692
2018-05-11 03:00:00,5872
2018-05-11 04:00:00,5620
2018-05-11 05:00:00,6074
2018-05-11 06:00:00,7194
2018-05-11 07:00:00,6916
2018-05-11 08:00:00,8181
2018-05-11 09:00:00,10180
2018-05-11 10:00:00,9432
2018-05-11 11:00:00,8862
2018-05-11 12:00:00,8028
2018-05-11 13:00:00,9269
2018-05-11 14:00:00,9775
2018-05-11 15:00:00,8618
2018-05-11 16:00:00,9135
2018-05-11 17:00:00,7726
2018-05-11 18:00:00,6558
2018-05-11 19:00:00,7539
2018-05-11 20:00:00,6852
2018-05-11 21:00:00,6811
2018-05-11 22:00:00,6709
2018-05-11 23:00:00,5661
2018-05-12 00:00:00,7436
2018-05-12 01:00:00,6920
2018-05-12 02:00:00,6146
2018-05-12 03:00:00,9503
2018-05-12 04:00:00,8362
2018-05-12 05:00:00,8033
2018-05-12 06:00:00,8440
2018-05-12 07:00:00,10628
2018-05-12 08:00:00,10963
2018-05-12 09:00:00,11088
2018-05-12 10:00:00,12077
2018-05-12 11:00:00,12597
2018-05-12 12:00:00,12913
2018-05-12 13:00:00,11929
2018-05-12 14:00:00,14688
