Time,Projectviews
2022-01-01 00:00:00,21055905
2022-01-01 01:00:00,20732316
2022-01-01 02:00:00,17945763
2022-01-01 03:00:00,16529648
2022-01-01 04:00:00,15590562
2022-01-01 05:00:00,16445151
2022-01-01 06:00:00,14920296
2022-01-01 07:00:00,14395112
2022-01-01 08:00:00,14572615
2022-01-01 09:00:00,15458318
2022-01-01 10:00:00,17029696
2022-01-01 11:00:00,18677097
2022-01-01 12:00:00,20206437
2022-01-01 13:00:00,21831067
2022-01-01 14:00:00,23206911
2022-01-01 15:00:00,24817974
2022-01-01 16:00:00,26058849
2022-01-01 17:00:00,26887984
2022-01-01 18:00:00,27360429
2022-01-01 19:00:00,27485838
2022-01-01 20:00:00,28333570
2022-01-01 21:00:00,29354880
2022-01-01 22:00:00,28883583
2022-01-01 23:00:00,26674038
2022-01-02 00:00:00,23021656
2022-01-02 01:00:00,20305708
2022-01-02 02:00:00,18765817
2022-01-02 03:00:00,18401466
2022-01-02 04:00:00,17937008
2022-01-02 05:00:00,17323682
2022-01-02 06:00:00,16811012
2022-01-02 07:00:00,16366650
2022-01-02 08:00:00,16869283
2022-01-02 09:00:00,18424200
2022-01-02 10:00:00,20025151
2022-01-02 11:00:00,21497865
2022-01-02 12:00:00,22740943
2022-01-02 13:00:00,24379673
2022-01-02 14:00:00,26259813
2022-01-02 15:00:00,27621516
2022-01-02 16:00:00,28522952
2022-01-02 17:00:00,28767371
2022-01-02 18:00:00,28696355
2022-01-02 19:00:00,28400031
2022-01-02 20:00:00,28781227
2022-01-02 21:00:00,29565537
2022-01-02 22:00:00,28970711
2022-01-02 23:00:00,26224549
2022-01-03 00:00:00,22496737
2022-01-03 01:00:00,19816468
2022-01-03 02:00:00,18809571
2022-01-03 03:00:00,18493357
2022-01-03 04:00:00,18110493
2022-01-03 05:00:00,17092056
2022-01-03 06:00:00,16710924
2022-01-03 07:00:00,16869427
2022-01-03 08:00:00,17575792
2022-01-03 09:00:00,18811789
2022-01-03 10:00:00,20208376
2022-01-03 11:00:00,21199066
2022-01-03 12:00:00,21978120
2022-01-03 13:00:00,23549865
2022-01-03 14:00:00,25383076
2022-01-03 15:00:00,26333521
2022-01-03 16:00:00,26326594
2022-01-03 17:00:00,26392810
2022-01-03 18:00:00,26238310
2022-01-03 19:00:00,26163238
2022-01-03 20:00:00,26618020
2022-01-03 21:00:00,27577367
2022-01-03 22:00:00,26824545
2022-01-03 23:00:00,23986574
2022-01-04 00:00:00,20341112
2022-01-04 01:00:00,18141631
2022-01-04 02:00:00,17774624
2022-01-04 03:00:00,17515978
2022-01-04 04:00:00,17199218
2022-01-04 05:00:00,16674092
2022-01-04 06:00:00,16284443
2022-01-04 07:00:00,16809636
2022-01-04 08:00:00,17889130
2022-01-04 09:00:00,18967398
2022-01-04 10:00:00,19933035
2022-01-04 11:00:00,20964803
2022-01-04 12:00:00,21902371
2022-01-04 13:00:00,23657624
2022-01-04 14:00:00,25474452
2022-01-04 15:00:00,26241788
2022-01-04 16:00:00,26259879
2022-01-04 17:00:00,26173493
2022-01-04 18:00:00,25746994
2022-01-04 19:00:00,25506413
2022-01-04 20:00:00,26252383
2022-01-04 21:00:00,26854766
2022-01-04 22:00:00,26290717
2022-01-04 23:00:00,23645952
2022-01-05 00:00:00,19862766
2022-01-05 01:00:00,17644747
2022-01-05 02:00:00,17175929
2022-01-05 03:00:00,17317959
2022-01-05 04:00:00,17132933
2022-01-05 05:00:00,16253994
2022-01-05 06:00:00,15907847
2022-01-05 07:00:00,16556158
2022-01-05 08:00:00,17588903
2022-01-05 09:00:00,18774481
2022-01-05 10:00:00,19740677
2022-01-05 11:00:00,20664537
2022-01-05 12:00:00,21611417
2022-01-05 13:00:00,23060569
2022-01-05 14:00:00,24904897
2022-01-05 15:00:00,25771121
2022-01-05 16:00:00,25626221
2022-01-05 17:00:00,25411743
2022-01-05 18:00:00,25123242
2022-01-05 19:00:00,25012857
2022-01-05 20:00:00,26025638
2022-01-05 21:00:00,26563192
2022-01-05 22:00:00,25871697
2022-01-05 23:00:00,23311956
2022-01-06 00:00:00,19664718
2022-01-06 01:00:00,17589343
2022-01-06 02:00:00,17015448
2022-01-06 03:00:00,16964563
2022-01-06 04:00:00,16758498
2022-01-06 05:00:00,15891094
2022-01-06 06:00:00,15529479
2022-01-06 07:00:00,16059925
2022-01-06 08:00:00,17039694
2022-01-06 09:00:00,18259076
2022-01-06 10:00:00,19512053
