File,Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
bu,1994-11-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,83,0,0,0,0,0,0,0
bu,1994-11-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,59,2069,53,510,100,132,40,0
bu,1994-11-23,143,664,763,108,328,1361,897,0,0,0,0,0,0,30,187,0,0,0,0,0,0,0,0,0
bu,1994-11-24,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,292,344,0,0,0,0,604,163,54
bu,1994-11-25,12,0,334,52,0,0,0,0,0,0,0,0,0,9,373,0,0,0,0,6,14,0,0,19
bu,1994-11-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bu,1994-11-27,138,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bu,1994-11-28,0,0,0,0,0,0,0,0,0,0,0,0,0,43,163,249,0,0,0,0,0,12,32,0
bu,1994-11-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,88,34,3,24,0,83,61
bu,1994-11-30,14,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,14,8,50,268,315,0
bu,1994-12-01,0,52,0,0,0,0,0,0,0,0,0,0,10,0,63,0,35,16,0,115,8,0,0,0
bu,1994-12-02,20,0,0,0,0,0,0,0,0,0,0,0,0,8,83,0,0,0,21,0,3,0,0,388
bu,1994-12-03,108,1,108,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,322,0,0,0
bu,1994-12-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0,0,0,0
bu,1994-12-05,98,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,14,81,0,16,0
bu,1994-12-06,0,334,420,0,0,0,0,0,0,0,0,0,0,0,74,9,0,57,0,46,62,133,0,0
bu,1994-12-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,86,17,0,0,198,299,0
bu,1994-12-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0
bu,1994-12-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,373,59,67,100,0
bu,1994-12-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0
bu,1994-12-11,0,0,0,0,0,0,49,66,0,0,0,0,0,0,0,0,0,25,494,82,0,17,0,0
bu,1994-12-12,0,0,188,0,0,0,0,0,0,0,0,0,0,0,2,0,31,50,23,20,112,423,224,26
bu,1994-12-13,2,264,228,0,11,0,0,0,0,0,0,0,0,0,0,9,169,44,0,120,317,0,0,0
bu,1994-12-14,0,32,0,0,0,0,0,0,0,0,0,0,0,3,0,0,28,27,15,3,0,560,242,0
bu,1994-12-15,0,10,0,0,0,0,0,0,286,0,0,0,0,0,0,44,11,0,99,11,0,0,426,23
bu,1994-12-16,0,0,0,19,0,0,0,0,0,0,0,0,0,0,83,0,0,29,21,84,42,25,352,804
bu,1994-12-17,0,0,0,0,19,62,9,0,0,0,0,0,0,0,0,0,0,0,0,0,251,0,25,3
bu,1994-12-18,0,0,0,0,0,0,0,0,50,596,0,0,0,0,0,0,0,0,0,147,30,0,0,0
bu,1994-12-19,0,0,0,0,0,54,0,0,0,28,154,0,0,46,21,0,44,19,69,9,6,630,42,26
bu,1994-12-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,36,3,0,270,216
bu,1994-12-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,13,32,0,51,60
bu,1994-12-22,17,0,0,3,473,17,3786,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4
bu,1994-12-23,280,0,0,0,0,0,0,0,128,0,0,0,0,0,40,110,0,0,0,8,0,0,47,0
bu,1994-12-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
bu,1994-12-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0
bu,1994-12-26,0,0,167,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,3,0
bu,1994-12-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,52,0,41,240,10
bu,1994-12-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,196,56,13,346
bu,1994-12-29,2,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bu,1994-12-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,144,186,0,0,72,9,0,0,0
bu,1994-12-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,118,0
bu,1995-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,269,174,0,0,0,0,128,0
bu,1995-01-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,129,78,299,164,0,29,587,383
bu,1995-01-03,3,0,17,346,0,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0,0
bu,1995-01-04,65,0,0,0,0,0,0,0,0,0,0,0,0,0,209,54,0,0,0,0,0,0,0,10
bu,1995-01-05,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,0,268,132,0,0,30,46
bu,1995-01-06,0,0,87,328,1062,779,0,0,0,0,0,0,0,0,0,0,25,0,0,0,29,6,6,176
