File,Date,Month,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
bu,1994-11-27,11,100,2984,4481,1460,819,0,328
bu,1994-12-04,12,499,304,774,299,523,561,246
bu,1994-12-11,12,398,1135,623,21,611,19,733
bu,1994-12-18,12,1099,1164,910,910,1459,369,823
bu,1994-12-25,12,1148,752,168,4308,613,9,22
bu,1995-01-01,1,207,454,772,48,559,197,602
bu,1995-01-08,1,1722,532,338,764,2498,378,1784
bu,1995-01-15,1,1750,318,1458,958,107,75,0
bu,1995-01-22,1,289,9015,5446,0,0,0,0
bu,1995-01-29,1,0,111,9676,11207,5006,4436,3507
bu,1995-02-05,2,12756,9928,14688,20240,18953,4602,3588
bu,1995-02-12,2,9556,12970,41548,26944,24801,10954,40533
bu,1995-02-19,2,46665,3214,66304,46755,11175,2816,4796
bu,1995-02-26,2,96,15450,9222,10638,5709,2619,3171
bu,1995-03-05,3,6464,7698,11165,12284,4333,479,1122
bu,1995-03-12,3,501,139,20,1033,9,444,412
bu,1995-03-19,3,9624,8733,11454,5820,4156,1567,1188
bu,1995-03-26,3,5376,8621,16847,8690,6025,8021,5572
bu,1995-04-02,4,10069,5624,5859,6882,6997,2003,3349
bu,1995-04-09,4,5539,10781,8918,10395,4852,10279,8589
bu,1995-04-16,4,11445,9489,15565,9250,6956,3096,1175
bu,1995-04-23,4,0,6867,30205,17992,19090,5583,8597
bu,1995-04-30,4,19284,42401,15334,10923,5223,4188,4026
bu,1995-05-07,5,7743,4354,11509,8791,3389,2315,1817
bu,1995-05-14,5,4314,5914,3656,2712,5444,1449,501
bu,1995-05-21,5,3782,5406,348,187,9,0,0
calgary,1994-11-27,11,1777,1753,1520,1675,1349,681,588
calgary,1994-12-04,12,1660,2237,2113,992,1324,712,591
calgary,1994-12-11,12,1790,1378,1524,1467,1413,489,603
calgary,1994-12-18,12,1708,1804,1265,1149,1071,1143,1102
calgary,1994-12-25,12,1840,1249,1118,908,457,123,387
calgary,1995-01-01,1,280,513,465,301,336,301,251
calgary,1995-01-08,1,491,1016,885,1104,587,346,450
calgary,1995-01-15,1,1345,1665,1346,1830,1680,481,760
calgary,1995-01-22,1,1958,1488,1670,2306,1958,624,788
calgary,1995-01-29,1,1566,2237,1923,2230,2005,1339,1268
calgary,1995-02-05,2,2825,3244,2722,2845,2531,2707,1930
calgary,1995-02-12,2,3589,5216,4409,5025,2972,1003,1938
calgary,1995-02-19,2,3212,3393,3531,2598,2133,1676,1158
calgary,1995-02-26,2,1555,1870,2786,2445,1824,1525,1267
calgary,1995-03-05,3,2057,2197,2153,2097,1649,1414,1623
calgary,1995-03-12,3,2892,3139,2682,2968,3373,1505,1616
calgary,1995-03-19,3,3964,4473,4293,3686,1968,1485,1345
calgary,1995-03-26,3,4787,6616,4169,4885,2046,2435,2160
calgary,1995-04-02,4,4519,5376,6353,4627,3463,1652,1446
calgary,1995-04-09,4,2915,3131,3486,3523,4016,2286,2501
calgary,1995-04-16,4,3396,3485,3867,2338,1188,1029,1180
calgary,1995-04-23,4,1507,1703,2306,2057,2229,1665,966
calgary,1995-04-30,4,1433,1545,2337,1941,2006,1055,822
calgary,1995-05-07,5,1511,2078,2426,2322,2402,3307,2300
calgary,1995-05-14,5,2268,3318,2836,2400,1654,900,1092
calgary,1995-05-21,5,1787,1729,1950,2274,2270,1114,2505
calgary,1994-10-30,10,705,1194,1680,1889,1817,898,902
calgary,1994-11-06,11,2083,1886,2106,2112,1775,568,582
calgary,1994-11-13,11,1564,1260,1376,1216,710,487,613
calgary,1994-11-20,11,1330,1207,2142,2266,1266,648,784
calgary,1995-05-28,5,2923,2669,2159,3330,2159,805,582
calgary,1995-06-04,6,1271,1642,1795,1944,1734,999,1117
calgary,1995-06-11,6,1734,2378,1715,2061,1670,1028,866
calgary,1995-06-18,6,1801,1832,2463,1841,1797,1339,991
calgary,1995-06-25,6,2815,2022,2555,2369,1988,984,1625
calgary,1995-07-02,7,2245,2197,2187,1819,1604,810,1221
calgary,1995-07-09,7,1740,2580,1955,1747,1285,829,758
calgary,1995-07-16,7,1743,2215,1830,1877,1818,1028,935
calgary,1995-07-23,7,2181,1740,1906,1853,2070,1290,1636
calgary,1995-07-30,7,2185,2916,2440,2468,2657,1291,1559
calgary,1995-08-06,8,2378,2479,3138,2666,2828,1714,1541
calgary,1995-08-13,8,1851,2796,2795,2657,1995,1178,1758
calgary,1995-08-20,8,2804,2115,2267,2175,2053,991,1374
calgary,1995-08-27,8,2219,2374,2774,2318,2260,1256,1242
calgary,1995-09-03,9,2207,1937,2297,2018,1191,1019,654
calgary,1995-09-10,9,1065,1171,1749,2382,3208,1602,1613
calgary,1995-09-17,9,3543,3287,4746,3963,3764,1883,2021
calgary,1995-09-24,9,3494,4079,4524,5471,3381,2897,2853
calgary,1995-10-01,10,4358,4894,4153,4004,3822,2304,2174
calgary,1995-10-08,10,4594,3818,3969,3718,3853,1548,2022
calgary,1995-10-15,10,2814,3708,2522,0,0,0,0
clarknet,1995-09-03,9,251327,267419,273441,259483,268706,171622,162884
clarknet,1995-09-10,9,210906,229939,276110,274660,280345,209525,192265
madrid,2018-05-06,5,0,241517,202892,176183,200926,262817,242551
madrid,2018-05-13,5,245528,260951,321037,156265,175506,238162,244772
madrid,2018-05-20,5,275985,229185,208430,177061,167152,240376,266909
madrid,2018-05-27,5,261840,242174,253201,168128,185195,260501,248449
madrid,2018-06-03,6,230845,234284,0,0,0,0,0
nasa,1995-07-02,7,0,0,0,0,0,64714,60265
nasa,1995-07-09,7,89584,70452,94575,100960,87233,38867,35272
nasa,1995-07-16,7,72860,80407,92536,134203,84103,45532,47854
nasa,1995-07-23,7,74981,64282,72738,66593,64629,35267,39199
nasa,1995-07-30,7,64259,62699,58849,61680,27121,0,0
nasa,1995-08-06,8,0,33996,0,41388,59557,31893,32420
nasa,1995-08-13,8,57362,60157,60458,61248,61246,38071,36480
nasa,1995-08-20,8,59878,58847,56653,58988,56246,32094,32963
nasa,1995-08-27,8,55540,57762,58097,52552,57321,31608,32823
nasa,1995-09-03,9,55496,67988,80641,90125,0,0,0
retailrocket,2015-05-03,5,0,0,0,0,0,0,13683
retailrocket,2015-05-10,5,19414,23015,23920,23164,19424,12695,12143
retailrocket,2015-05-17,5,16178,22374,23767,24156,22194,19313,20879
retailrocket,2015-05-24,5,27084,26799,22236,21676,21063,16408,17248
retailrocket,2015-05-31,5,23863,21997,21936,22022,19574,16030,16397
retailrocket,2015-06-07,6,22796,23336,23559,23629,20814,16160,16151
retailrocket,2015-06-14,6,20941,23682,24023,20915,15866,12270,14155
retailrocket,2015-06-21,6,22266,24667,23897,23324,20621,15568,15633
retailrocket,2015-06-28,6,23294,23616,21960,20271,19875,15477,17195
retailrocket,2015-07-05,7,22984,21448,20764,21413,20782,16092,15750
retailrocket,2015-07-12,7,22356,24385,25035,24997,23151,20794,21127
retailrocket,2015-07-19,7,26119,26872,24141,21632,20186,16489,16804
retailrocket,2015-07-26,7,25332,23613,22327,21601,22755,27106,32703
retailrocket,2015-08-02,8,28562,21980,23200,20974,18942,15459,15220
retailrocket,2015-08-09,8,21269,21235,20405,20330,19346,12857,13117
retailrocket,2015-08-16,8,18424,18206,20083,19159,16976,13423,14492
retailrocket,2015-08-23,8,20858,20751,20088,19215,17750,14248,14014
retailrocket,2015-08-30,8,18740,19681,18978,19566,19602,14965,16278
retailrocket,2015-09-06,9,18627,18178,17539,18041,17733,14365,14574
retailrocket,2015-09-13,9,19793,20815,21761,22548,21517,15496,16859
retailrocket,2015-09-20,9,20913,20427,11495,10128,1528,0,0
saskatchewan,1995-06-04,6,0,0,0,5589,7219,4025,3638
saskatchewan,1995-06-11,6,6978,8930,7919,8664,7501,4487,4477
saskatchewan,1995-06-18,6,7216,8503,9620,9227,7062,4726,4747
saskatchewan,1995-06-25,6,9369,10386,9095,9224,7853,5026,4664
saskatchewan,1995-07-02,7,8613,8343,8103,8414,7105,4621,4687
saskatchewan,1995-07-09,7,6832,6801,7814,8101,7323,4690,5002
saskatchewan,1995-07-16,7,9002,9779,9432,9197,7234,4990,4948
saskatchewan,1995-07-23,7,9352,8694,8697,8349,8865,5140,5614
saskatchewan,1995-07-30,7,8396,8536,8933,8954,8905,5439,5501
saskatchewan,1995-08-06,8,8924,8963,9931,9448,8813,5204,5206
saskatchewan,1995-08-13,8,7524,7179,10357,8878,9320,5284,5477
saskatchewan,1995-08-20,8,9719,10164,9309,9179,8284,5096,6055
saskatchewan,1995-08-27,8,9157,11161,11293,11846,10743,4993,6539
saskatchewan,1995-09-03,9,10684,12570,10986,11738,10916,6368,7439
saskatchewan,1995-09-10,9,8361,12096,13120,14084,12579,8152,7468
saskatchewan,1995-09-17,9,13106,14250,14106,15581,13421,8896,9388
saskatchewan,1995-09-24,9,14520,14737,13857,16123,11050,8195,8275
saskatchewan,1995-10-01,10,14573,14655,15189,14305,13612,8970,8992
saskatchewan,1995-10-08,10,14773,14982,18075,18685,16556,9644,10189
saskatchewan,1995-10-15,10,14750,17750,13614,16779,17187,10438,11118
saskatchewan,1995-10-22,10,15074,16965,17535,16788,17221,11685,11855
saskatchewan,1995-10-29,10,18113,19204,19001,18305,16748,6964,10715
saskatchewan,1995-11-05,11,16259,15723,17021,17523,17430,10267,10393
saskatchewan,1995-11-12,11,17446,21166,18179,19906,13776,9793,10561
saskatchewan,1995-11-19,11,17036,18028,18070,18113,16905,10451,10080
saskatchewan,1995-11-26,11,17964,17509,17716,14811,14910,9710,10031
saskatchewan,1995-12-03,12,16745,17111,19115,18155,16174,10727,10416
saskatchewan,1995-12-10,12,18065,17098,17048,17980,16270,10930,10614
saskatchewan,1995-12-17,12,16689,17717,15814,14829,16088,8556,8299
saskatchewan,1995-12-24,12,13519,15647,19048,15801,14657,7821,7301
saskatchewan,1995-12-31,12,6909,9270,11671,11811,11813,9727,8739
wc,1998-05-03,5,0,0,0,324,1193354,755705,759722
wc,1998-05-10,5,1262614,1522110,1687819,1706620,1649818,1015840,856236
wc,1998-05-17,5,1710898,2391368,1729378,1908579,2084019,1749870,1483189
wc,1998-05-24,5,1546190,2849876,3041737,2372784,3279721,2342249,2225480
wc,1998-05-31,5,3484272,4139170,4146068,4482596,4757741,3354867,3307319
wc,1998-06-07,6,5586183,7188031,7894570,8297253,8093052,5452693,5734307
wc,1998-06-14,6,14527872,20068724,50395115,52406259,48956639,23528964,21093520
wc,1998-06-21,6,58013837,40732116,37911145,35898967,33695773,17390951,17224133
wc,1998-06-28,6,36698571,48340837,48667856,50539695,68819070,21414475,19117729
wc,1998-07-05,7,62228643,73291779,28356370,17499483,44502981,17885060,12821627
wc,1998-07-12,7,10291836,39874187,38979926,17510126,11413461,9111100,13583331
wc,1998-07-19,7,22262551,8945383,6326022,4849704,3898338,2487875,1905126
wc,1998-07-26,7,2673514,2541748,2263168,2103547,1880804,1308356,1053032
wikipedia,2018-05-06,5,525373027,529329579,526680455,527825296,498362831,477161812,515000607
wikipedia,2018-05-13,5,546824147,538152951,521061709,528724259,500816508,484844306,533717540
wikipedia,2018-05-20,5,560707348,546400925,546742674,533782578,506420944,526583105,558513409
wikipedia,2018-05-27,5,575126224,558241912,550724509,526819512,493874255,481199846,528947783
wikipedia,2018-06-03,6,550402945,549540027,527626489,517436245,492841249,478642863,527025837
wikipedia,2018-01-07,1,497820931,541627983,545926636,533132368,524058967,538771937,570677895
wikipedia,2018-01-14,1,578293041,558689335,549687563,551364418,526418568,521410651,581210340
wikipedia,2018-01-21,1,592450303,567804642,567099047,569723385,527394171,513516459,561263798
wikipedia,2018-01-28,1,583498139,563752357,556095084,545349615,522352914,509409060,567214924
wikipedia,2018-02-04,2,578870649,553211630,545818851,534308844,514059984,505682603,558426516
wikipedia,2018-02-11,2,574299376,557576639,549721478,542741265,517281776,505163587,555674499
wikipedia,2018-02-18,2,569038408,549549740,532182454,528760039,514533888,505671129,557209393
wikipedia,2018-02-25,2,576397424,563569238,557552225,544889363,521165695,505944864,574738356
wikipedia,2018-03-04,3,583049740,560447104,545754638,535018831,513219062,508265804,558901318
wikipedia,2018-03-11,3,588369527,556535723,544329450,535884513,514243521,497381549,554009000
wikipedia,2018-03-18,3,571461643,557056769,575789034,546565858,518414640,503949259,552475997
wikipedia,2018-03-25,3,561928380,550488882,551266345,539190838,508783390,485425222,527482272
wikipedia,2018-04-01,4,543215279,530455274,516892486,501568408,499286201,491031738,520814263
wikipedia,2018-04-08,4,551537084,542746761,533809345,523034495,504613769,490639491,537293362
wikipedia,2018-04-15,4,556747018,542728915,541718793,533980521,503930326,487812534,549455483
wikipedia,2018-04-22,4,563499015,545743203,533951751,514772673,497647580,478975327,528629629
wikipedia,2018-04-29,4,552031845,549558323,547517767,524197575,493900736,464982409,504362373
wikipedia,2018-06-10,6,543285180,537538893,532071419,527471267,509291614,483392286,524578203
wikipedia,2018-06-17,6,545713140,530116302,523814471,521511272,488021849,472492189,514485449
wikipedia,2018-06-24,6,529671358,526432149,508935531,500018155,485043251,477233693,509196082
wikipedia,2018-07-01,7,516731736,502196828,497611714,491442712,464529084,469444798,505787485
wikipedia,2018-07-08,7,520705274,526462446,544983168,509207150,497264554,485993205,506440260
wikipedia,2018-07-15,7,515328903,521847624,523117135,512484258,485922072,477703040,539704297
wikipedia,2018-07-22,7,538277161,510369817,500573642,493567848,475317124,462540459,506155118
wikipedia,2018-07-29,7,516671380,500508108,498924568,492361725,475420314,467391955,506384418
wikipedia,2018-08-05,8,520314104,503865831,498486001,491115212,476345397,460427655,494298393
wikipedia,2018-08-12,8,510501793,508095645,500923600,496166251,475827108,455199085,493333836
wikipedia,2018-08-19,8,513774692,502683243,507180066,507789481,492329310,468972300,507346868
wikipedia,2018-08-26,8,527878435,513915314,513338088,503591136,494936558,472533509,516356669
wikipedia,2018-09-02,9,534414802,521702407,522786792,512412543,490159613,467515876,502453142
wikipedia,2018-09-09,9,522201303,530569914,514286202,517060780,501537414,481935737,524123774
wikipedia,2018-09-16,9,537784915,531794528,519210136,514103476,489155405,477815371,522327034
wikipedia,2018-09-23,9,546308995,537141097,522126510,519954409,498055913,476121565,522027913
wikipedia,2018-09-30,9,544754093,533596050,525374700,508619871,483750914,468545131,522121453
wikipedia,2018-10-07,10,534546186,534541674,531847061,520417713,501781194,490086226,537571940
wikipedia,2018-10-14,10,557707717,546951346,529112228,521114723,501494476,481146352,528382028
wikipedia,2018-10-21,10,551113656,548584366,536413960,524607542,497134546,480407793,528297215
wikipedia,2018-10-28,10,553732313,545534928,544493722,528648837,494978225,474302846,524256378
wikipedia,2018-11-04,11,550183268,534764466,512963800,515228303,504547029,489431070,540434327
wikipedia,2018-11-11,11,557383922,548703248,546668284,531936839,511370330,500916305,559300847
wikipedia,2018-11-18,11,580732322,573568885,589870487,577254196,552353443,498032835,549265138
wikipedia,2018-11-25,11,556897842,546837529,533285771,524526502,503138232,496830964,545172129
wikipedia,2018-12-02,12,564210766,553300095,548488793,538302100,500122756,491041083,542007810
wikipedia,2018-12-09,12,563511842,549117498,553242989,542477853,512949002,497246607,551953188
wikipedia,2018-12-16,12,555600490,538315221,524716961,518092171,489969836,466881613,518125691
wikipedia,2018-12-23,12,533199095,511784875,499967407,476371738,453471787,447140883,473152781
wikipedia,2018-12-30,12,476201652,478385901,502305081,501588113,492434202,494829188,519072106
wikipedia,2019-01-06,1,492710930,518681035,551568070,545608232,532874418,533631533,572883588
wikipedia,2019-01-13,1,576843229,561525940,550806805,543645396,536624454,535058274,577975096
wikipedia,2019-01-20,1,581457526,563298815,562916251,560958248,540055089,521436244,578815287
