Date,Day,File,Cluster
1994-11-21,Monday,bu,1
1994-11-22,Tuesday,bu,1
1994-11-23,Wednesday,bu,1
1994-11-24,Thursday,bu,1
1994-11-25,Friday,bu,1
1994-11-26,Saturday,bu,1
1994-11-27,Sunday,bu,1
1994-11-28,Monday,bu,2
1994-11-29,Tuesday,bu,1
1994-11-30,Wednesday,bu,1
1994-12-01,Thursday,bu,1
1994-12-02,Friday,bu,1
1994-12-03,Saturday,bu,1
1994-12-04,Sunday,bu,1
1994-12-05,Monday,bu,1
1994-12-06,Tuesday,bu,1
1994-12-07,Wednesday,bu,1
1994-12-08,Thursday,bu,1
1994-12-09,Friday,bu,1
1994-12-10,Saturday,bu,1
1994-12-11,Sunday,bu,1
1994-12-12,Monday,bu,1
1994-12-13,Tuesday,bu,1
1994-12-14,Wednesday,bu,1
1994-12-15,Thursday,bu,1
1994-12-16,Friday,bu,1
1994-12-17,Saturday,bu,1
1994-12-18,Sunday,bu,2
1994-12-19,Monday,bu,1
1994-12-20,Tuesday,bu,1
1994-12-21,Wednesday,bu,1
1994-12-22,Thursday,bu,1
1994-12-23,Friday,bu,1
1994-12-24,Saturday,bu,1
1994-12-25,Sunday,bu,1
1994-12-26,Monday,bu,1
1994-12-27,Tuesday,bu,1
1994-12-28,Wednesday,bu,1
1994-12-29,Thursday,bu,1
1994-12-30,Friday,bu,2
1994-12-31,Saturday,bu,1
1995-01-01,Sunday,bu,1
1995-01-02,Monday,bu,1
1995-01-03,Tuesday,bu,1
1995-01-04,Wednesday,bu,1
1995-01-05,Thursday,bu,1
1995-01-06,Friday,bu,1
1995-01-07,Saturday,bu,1
1995-01-08,Sunday,bu,1
1995-01-09,Monday,bu,1
1995-01-10,Tuesday,bu,2
1995-01-11,Wednesday,bu,1
1995-01-12,Thursday,bu,1
1995-01-13,Friday,bu,1
1995-01-14,Saturday,bu,1
1995-01-15,Sunday,bu,1
1995-01-16,Monday,bu,1
1995-01-17,Tuesday,bu,1
1995-01-18,Wednesday,bu,0
1995-01-19,Thursday,bu,1
1995-01-20,Friday,bu,1
1995-01-21,Saturday,bu,1
1995-01-22,Sunday,bu,1
1995-01-23,Monday,bu,1
1995-01-24,Tuesday,bu,1
1995-01-25,Wednesday,bu,1
1995-01-26,Thursday,bu,1
1995-01-27,Friday,bu,1
1995-01-28,Saturday,bu,1
1995-01-29,Sunday,bu,1
1995-01-30,Monday,bu,1
1995-01-31,Tuesday,bu,1
1995-02-01,Wednesday,bu,0
1995-02-02,Thursday,bu,1
1995-02-03,Friday,bu,1
1995-02-04,Saturday,bu,1
1995-02-05,Sunday,bu,1
1995-02-06,Monday,bu,1
1995-02-07,Tuesday,bu,0
1995-02-08,Wednesday,bu,1
1995-02-09,Thursday,bu,1
1995-02-10,Friday,bu,1
1995-02-11,Saturday,bu,1
1995-02-12,Sunday,bu,1
1995-02-13,Monday,bu,1
1995-02-14,Tuesday,bu,1
1995-02-15,Wednesday,bu,0
1995-02-16,Thursday,bu,1
1995-02-17,Friday,bu,0
1995-02-18,Saturday,bu,1
1995-02-19,Sunday,bu,1
1995-02-20,Monday,bu,1
1995-02-21,Tuesday,bu,0
1995-02-22,Wednesday,bu,1
1995-02-23,Thursday,bu,1
1995-02-24,Friday,bu,1
1995-02-25,Saturday,bu,1
1995-02-26,Sunday,bu,1
1995-02-27,Monday,bu,0
1995-02-28,Tuesday,bu,1
1995-03-01,Wednesday,bu,1
1995-03-02,Thursday,bu,1
1995-03-03,Friday,bu,1
1995-03-04,Saturday,bu,1
1995-03-05,Sunday,bu,1
1995-03-06,Monday,bu,1
1995-03-07,Tuesday,bu,1
1995-03-08,Wednesday,bu,1
1995-03-09,Thursday,bu,1
1995-03-10,Friday,bu,1
1995-03-11,Saturday,bu,1
1995-03-12,Sunday,bu,1
1995-03-13,Monday,bu,0
